ax,ay,az,gx,gy,gz,temp_raw,flags,ax_g,ay_g,az_g,a_mag
19646,26553,0,0,2,0,0,0,2.45575,3.319125,0.0,4.128837466905788
-20096,30177,26253,-16408,-31060,-12824,30495,16434,-2.512,3.772125,3.281625,5.59536716009325
-24954,-31663,10288,-16378,19706,26553,0,0,-3.11925,-3.957875,1.286,5.2007971579484815
2,0,0,0,-10052,-32374,-12022,-16397,0.00025,0.0,0.0,0.00025
17143,7710,23584,16433,-23323,-4122,-14693,-16383,2.142875,0.96375,2.948,3.769805210899497
19766,26553,0,0,2,0,0,0,2.4707500000000002,3.319125,0.0,4.137776737346398
10896,-6955,26208,-16429,1435,7521,-18193,16388,1.362,-0.869375,3.2760000000000002,3.6528116418212697
-31605,27203,-3604,-16385,19873,26553,0,0,-3.950625,3.400375,-0.4505,5.2319153549393365
2,0,0,0,8983,10379,4132,16368,0.00025,0.0,0.0,0.00025
-29436,30654,32355,16399,24966,-2098,-31566,-16380,-3.6795,3.83175,4.0443750000000005,6.676675628868383
19933,26553,0,0,2,0,0,0,2.491625,3.319125,0.0,4.150275401253512
13446,16581,27425,16366,-7079,22696,3920,16396,1.68075,2.072625,3.428125,4.344276230714387
18502,-17512,-16614,-16382,19993,26553,0,0,2.31275,-2.189,-2.07675,3.801765921910501
2,0,0,0,-23339,-24138,2923,16339,0.00025,0.0,0.0,0.00025
-27435,-14640,-8062,16396,18152,9866,-14570,-16383,-3.4293750000000003,-1.83,-1.00775,4.015603684768331
20053,26553,0,0,2,0,0,0,2.506625,3.319125,0.0,4.159297976371734
3041,-3850,-9420,16369,3412,18206,-20619,16394,0.380125,-0.48125,-1.1775,1.3276305314826864
27932,17682,-12047,-16386,20113,26553,0,0,3.4915000000000003,2.21025,-1.505875,4.398117418637774
2,0,0,0,-11256,27637,-2710,16367,0.00025,0.0,0.0,0.00025
-8095,16937,-73,16395,24,30270,24776,-16386,-1.011875,2.117125,-0.009125,2.346527763925882
20173,26553,0,0,2,0,0,0,2.5216250000000002,3.319125,0.0,4.168355000026989
20660,12678,1983,16366,-8344,-8155,-26250,16395,2.5825,1.58475,0.247875,3.0400955294406455
-27882,959,-511,-16382,20233,26553,0,0,-3.48525,0.11987500000000001,-0.063875,3.4878958691093405
2,0,0,0,26106,-27940,-26757,16373,0.00025,0.0,0.0,0.00025
-21076,25059,22584,16394,-32170,-7915,22544,-16381,-2.6345,3.132375,2.823,4.972091349786828
20293,26553,0,0,2,0,0,0,2.536625,3.319125,0.0,4.177446248158078
3480,6484,-27739,-16414,29480,4988,32466,16395,0.435,0.8105,-3.467375,3.5873144050424406
26129,13288,-1753,-16386,20353,26553,0,0,3.266125,1.661,-0.21912500000000001,3.6707641277055654
2,0,0,0,-3326,3808,-15298,-16397,0.00025,0.0,0.0,0.00025
-28063,20512,-32373,16396,22798,31494,10506,-16383,-3.507875,2.564,-4.046625,5.937546370871557
20526,26553,0,0,2,0,0,0,2.56575,3.319125,0.0,4.195195326575987
-31132,8880,21131,-16408,-7194,-20698,-31712,16397,-3.8915,1.11,2.641375,4.832466672479491
-24524,29405,-9523,-16386,20586,26553,0,0,-3.0655,3.675625,-1.190375,4.931987634944962
2,0,0,0,-29620,-26355,15060,16372,0.00025,0.0,0.0,0.00025
-31513,24656,-2558,16394,-10564,-21619,5452,-16389,-3.939125,3.082,-0.31975000000000003,5.011753169114078
20646,26553,0,0,2,0,0,0,2.58075,3.319125,0.0,4.204385963268002
4364,-2663,-7963,16375,-5214,-4030,-26732,16394,0.5455,-0.33287500000000003,-0.995375,1.182855615132295
-20581,-30416,5270,-16379,20808,26553,0,0,-2.572625,-3.802,0.6587500000000001,4.6376238477398095
2,0,0,0,-31930,8405,6681,16365,0.00025,0.0,0.0,0.00025
4138,32579,26032,16392,32405,25350,-25821,-16381,0.51725,4.072375,3.254,5.23834913910146
20925,26553,0,0,2,0,0,0,2.615625,3.319125,0.0,4.2258827369260965
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,21012,26553,0,0,0.0,0.0,0.0,0.0
2,0,0,0,764,-27947,-15694,-16404,0.00025,0.0,0.0,0.00025
